Community,hour,avg_per_hour
AL WARQA'A FIFTH,19,0.06
AL WARQA'A FIFTH,20,0.08
AL WARQA'A FIFTH,21,0.04
AL WARQA'A FIFTH,22,0.02
AL WARQA'A FIFTH,23,0.06
AL WARQA'A FIRST,0,0.05333333333333334
AL WARQA'A FIRST,1,0.1
AL WARQA'A FIRST,2,0.03333333333333333
AL WARQA'A FIRST,3,0.04
AL WARQA'A FIRST,4,0.04
AL WARQA'A FIRST,5,0.06
AL WARQA'A FIRST,6,0.08
AL WARQA'A FIRST,7,0.10666666666666667
AL WARQA'A FIRST,8,0.1
AL WARQA'A FIRST,9,0.04
AL WARQA'A FIRST,10,0.08666666666666667
AL WARQA'A FIRST,11,0.1
AL WARQA'A FIRST,12,0.09333333333333334
AL WARQA'A FIRST,13,0.13333333333333333
AL WARQA'A FIRST,14,0.1
AL WARQA'A FIRST,15,0.12
AL WARQA'A FIRST,16,0.10666666666666667
AL WARQA'A FIRST,17,0.12666666666666668
AL WARQA'A FIRST,18,0.06666666666666667
AL WARQA'A FIRST,19,0.06
AL WARQA'A FIRST,20,0.16666666666666666
AL WARQA'A FIRST,21,0.14
AL WARQA'A FIRST,22,0.10666666666666667
AL WARQA'A FIRST,23,0.09333333333333334
AL WARQA'A FOURTH,0,0.05747126436781609
AL WARQA'A FOURTH,1,0.04597701149425287
AL WARQA'A FOURTH,2,0.022988505747126436
AL WARQA'A FOURTH,3,0.011494252873563218
AL WARQA'A FOURTH,5,0.011494252873563218
AL WARQA'A FOURTH,7,0.04597701149425287
AL WARQA'A FOURTH,8,0.06896551724137931
AL WARQA'A FOURTH,9,0.08045977011494253
AL WARQA'A FOURTH,10,0.05747126436781609
AL WARQA'A FOURTH,11,0.06896551724137931
AL WARQA'A FOURTH,12,0.08045977011494253
AL WARQA'A FOURTH,13,0.10344827586206896
AL WARQA'A FOURTH,14,0.09195402298850575
AL WARQA'A FOURTH,15,0.06896551724137931
AL WARQA'A FOURTH,16,0.034482758620689655
AL WARQA'A FOURTH,17,0.08045977011494253
AL WARQA'A FOURTH,18,0.1724137931034483
AL WARQA'A FOURTH,19,0.06896551724137931
AL WARQA'A FOURTH,20,0.034482758620689655
AL WARQA'A FOURTH,21,0.05747126436781609
AL WARQA'A FOURTH,22,0.09195402298850575
AL WARQA'A FOURTH,23,0.022988505747126436
AL WARQA'A SECOND,0,0.06422018348623854
AL WARQA'A SECOND,1,0.03669724770642202
AL WARQA'A SECOND,2,0.027522935779816515
AL WARQA'A SECOND,3,0.07339449541284404
AL WARQA'A SECOND,4,0.03669724770642202
AL WARQA'A SECOND,5,0.027522935779816515
AL WARQA'A SECOND,6,0.045871559633027525
AL WARQA'A SECOND,7,0.05504587155963303
AL WARQA'A SECOND,8,0.03669724770642202
AL WARQA'A SECOND,9,0.045871559633027525
AL WARQA'A SECOND,10,0.045871559633027525
AL WARQA'A SECOND,11,0.09174311926605505
AL WARQA'A SECOND,12,0.01834862385321101
AL WARQA'A SECOND,13,0.11009174311926606
AL WARQA'A SECOND,14,0.12844036697247707
AL WARQA'A SECOND,15,0.11926605504587157
AL WARQA'A SECOND,16,0.13761467889908258
AL WARQA'A SECOND,17,0.08256880733944955
AL WARQA'A SECOND,18,0.10091743119266056
AL WARQA'A SECOND,19,0.05504587155963303
AL WARQA'A SECOND,20,0.09174311926605505
AL WARQA'A SECOND,21,0.05504587155963303
AL WARQA'A SECOND,22,0.08256880733944955
AL WARQA'A SECOND,23,0.05504587155963303
AL WARQA'A THIRD,0,0.024390243902439025
AL WARQA'A THIRD,1,0.04878048780487805
AL WARQA'A THIRD,2,0.016260162601626018
AL WARQA'A THIRD,3,0.04878048780487805
AL WARQA'A THIRD,4,0.016260162601626018
AL WARQA'A THIRD,5,0.016260162601626018
AL WARQA'A THIRD,6,0.04065040650406504
AL WARQA'A THIRD,7,0.07317073170731707
AL WARQA'A THIRD,8,0.024390243902439025
AL WARQA'A THIRD,9,0.04065040650406504
AL WARQA'A THIRD,10,0.032520325203252036
AL WARQA'A THIRD,11,0.10569105691056911
AL WARQA'A THIRD,12,0.06504065040650407
AL WARQA'A THIRD,13,0.0975609756097561
AL WARQA'A THIRD,14,0.13821138211382114
AL WARQA'A THIRD,15,0.13008130081300814
AL WARQA'A THIRD,16,0.15447154471544716
AL WARQA'A THIRD,17,0.11382113821138211
AL WARQA'A THIRD,18,0.10569105691056911
AL WARQA'A THIRD,19,0.10569105691056911
AL WARQA'A THIRD,20,0.08943089430894309
